frame,mean_diff,max_diff,Energy,Contrast,Correlation,Variance,Homogeneity,SumAverage,SumVariance,SumEntropy,Entropy,DiffVariance,DiffEntropy,InfoMeasureCorr1,InfoMeasureCorr2
0,0.0011522828,0.02198933,0.011517164411234668,18.473693937191445,0.9715716282519007,324.9511423504388,0.41796896444964654,25.71921624878648,1281.3308754645636,6.071853290428599,8.559832736276547,0.0006308062290319631,3.066508096213662,-0.32667060522125374,0.9806703858076232
1,0.0011061315,0.030154772,0.02324598155314897,9.501040560093815,0.9695576348222537,156.10429634532954,0.48803561669223006,17.725439643186363,614.9161448212244,5.535751013807542,7.588713358753951,0.0008061734173155765,2.666772538552542,-0.35090175266750445,0.9784626742029554
2,0.0011459694,0.030458458,0.02238307504116733,9.727649199097261,0.9692950730793052,158.43110191417014,0.4823813967398139,18.209832052567975,623.9967584575833,5.579206920149774,7.66592777165519,0.0007916505548826918,2.6898686266756195,-0.34925272594793666,0.9787567179385008
3,0.001288037,0.019430153,0.008640782466055793,27.354371309968343,0.968160692126887,429.639652259536,0.3636218739464726,32.79995909897408,1691.2042377281757,6.44079945486842,9.254030058039444,0.0005153971784834711,3.3517645766155644,-0.30920959071765064,0.981452780604139
4,0.0011266827,0.021108538,0.011322616072180233,19.646445754411346,0.9703073135360754,330.9317545193348,0.40642700067880466,26.200178084058,1304.0805723229278,6.096044376254349,8.638539090158513,0.0006051671991145772,3.1229463876145296,-0.3189941203240092,0.9794220809242633
5,0.0012488092,0.021886468,0.010330545677344684,20.98498839306768,0.9709976182038986,361.8671266592859,0.3988191517055707,28.092385942605787,1426.4835182440759,6.20054275167181,8.809906859766949,0.0005852720543132917,3.16937477759633,-0.31909449013803337,0.9807521636962635
6,0.0011766187,0.02562964,0.013768723014492277,13.957679259357988,0.9691491015654209,226.28454900977505,0.44002843197159164,22.41128484753412,891.1805167797422,5.889824338852091,8.23444144670125,0.0006839946094522898,2.9205993817165212,-0.33287453310401444,0.9796243853698199
7,0.0011926487,0.018835925,0.008136971595710184,26.39938688985606,0.9707975620785155,452.0934521597865,0.37296430323787755,31.271706735729254,1781.9744217492903,6.353411399724175,9.101786597695227,0.0005329890407864315,3.314359224785106,-0.31085570603078533,0.9808363494316129
8,0.0011892901,0.021665305,0.012391688875152247,19.866889482885227,0.9686069196389225,316.46944144906,0.40295983922225687,26.98805825493534,1246.0108763133549,6.148620294777823,8.70947277027168,0.0005977987889340026,3.1344672196237644,-0.3219347862916063,0.9806780303740514
9,0.0010920821,0.019165024,0.01081442958959084,22.771734888736905,0.9638790497281782,315.35568812843536,0.3830946781075685,28.04372357862931,1238.6510176250042,6.215406157810761,8.88433807453757,0.0005539924485489443,3.241879738502932,-0.3084001526019166,0.9785236294255985
10,0.0016562367,0.020697147,0.005891709308059316,21.32012223855643,0.979144068542564,511.2706868409906,0.3725331619384667,39.77978845264079,2023.762625125406,6.734194711468173,9.501103263694375,0.0005513328457087436,3.2201932727249063,-0.3512650988799695,0.9904291996968908
11,0.0011713721,0.014717385,0.004254851825108826,40.66757414014144,0.9665065581443093,607.3256037225706,0.3209198476342087,39.529727848636725,2388.6348407501414,6.716208579446337,9.830795874385263,0.0004372601683555271,3.605904961411696,-0.28894293288237966,0.9801614202317815
12,0.0012327334,0.019847346,0.006530854436090582,24.58411302515913,0.968252455433041,387.28594046709844,0.37364867214367425,30.658870972218395,1524.5596488432345,6.354911932131262,9.127730346253692,0.0005409626960755459,3.2832291479952396,-0.3059753490587356,0.9797182086173046
13,0.0017644484,0.023021253,0.0068135086304251,19.289110293180304,0.9804434523578167,493.1995075091315,0.3866864714367757,38.07978376166914,1953.5089197433458,6.669953693143761,9.336801173170322,0.0005850651833796774,3.142294388259222,-0.36173942202217363,0.9911124550481132
14,0.0012967846,0.021724477,0.010599673320545027,19.846448232536368,0.9763354666165911,419.3547283814705,0.3949051252898198,29.437505242762704,1657.5724652933457,6.263821257384866,8.865298016571302,0.0005892576473779791,3.1498195539063256,-0.3278187482603882,0.9831154338128332
15,0.0012640979,0.020533435,0.008916335117260412,22.468739655637393,0.9749713940439951,448.9047470971028,0.3844422806713754,30.38894367142256,1773.150248732774,6.307110812135578,8.974066675027373,0.0005625689158007289,3.219606155938205,-0.32043562817418597,0.9821728865643761
