frame,mean_diff,max_diff,Energy,Contrast,Correlation,Variance,Homogeneity,SumAverage,SumVariance,SumEntropy,Entropy,DiffVariance,DiffEntropy,InfoMeasureCorr1,InfoMeasureCorr2
0,6.490947e-05,0.0027021766,0.24685742097534275,8.356635863446947,0.9713089154356664,145.84455952438958,0.7139586898569178,11.469535729825587,575.0216022341115,3.951749405590567,5.168541723180831,0.0015908587127487185,2.04356165299566,-0.4591417879200217,0.9760833856257332
1,6.258305e-05,0.0033094138,0.28341303630025017,5.798796810782884,0.9739817225864333,111.61064513100476,0.745450118348864,8.908718969783312,440.6437837132361,3.606204477385952,4.653109420345503,0.0017499344827097787,1.8514526330611276,-0.4688038129858459,0.9698579843859256
2,0.00028638434,0.0055936575,0.23573448756002643,3.0911932843732854,0.9965085894804833,442.9786852003881,0.7635539992934255,25.228497708688394,1768.8235475171791,4.5941572001764115,5.561208062966322,0.0018175563954790225,1.6798273250313818,-0.6259239698355423,0.9967302991517277
3,7.113016e-05,0.0038604364,0.27001001484472564,4.851188865379298,0.9728699493327633,89.53327529125806,0.7491165275644198,8.642850217505565,353.28191229965296,3.6513068291666375,4.6735838295014585,0.0017549385159876688,1.8040239922625054,-0.4804147706566033,0.972882856835549
4,0.0003113732,0.004148349,0.23031000027884763,5.58250294791006,0.9968121751516821,876.1629440796854,0.7315941445016396,37.36384695217059,3499.069273370832,4.906206670940439,6.0667946142610845,0.0016696088021648035,1.9099207440573314,-0.6076686926413623,0.9973884981034674
5,7.3376876e-05,0.0021357164,0.16478148851685734,15.211197969602718,0.9720029425188784,271.88896842385407,0.6735830290369315,16.452992097311324,1072.3446757258134,4.57322936345207,6.050059734360403,0.00140375636997378,2.327913425161272,-0.4494247634964013,0.9843193494294917
6,7.225731e-05,0.0038263127,0.29059086478199825,5.188691771179778,0.9766031737441458,111.00603563258488,0.7554125426229916,8.898260798260836,438.8354507591598,3.575206875046547,4.572934843418335,0.0018009023743564873,1.7881757591912524,-0.48380448880937255,0.9719009526508047
7,7.967655e-05,0.002286464,0.1658023860590651,12.03890893879257,0.9744927782493237,236.1301308814817,0.6767070790911808,16.73432121338189,932.4816145871341,4.607185064203949,6.042480797535385,0.0014106474973397968,2.2642238528456406,-0.4681051305061967,0.9869983899884236
8,7.741951e-05,0.0018877909,0.20662963320739336,19.603679513223753,0.9739636942314277,376.7537293990625,0.6622686956924713,20.024290339281695,1487.411238083026,4.553023208320774,6.091411364481273,0.0013718785776618662,2.4367154789278094,-0.4464213344531859,0.9842545337913601
9,6.654624e-05,0.00452666,0.2826573451360849,3.0379822175298745,0.9743594204412618,59.348566382097815,0.7784494367313857,6.755158685297669,234.3562833108614,3.4342768477573538,4.321932358923608,0.001910181694722162,1.6137196436210381,-0.49375944169030794,0.9694028236641663
10,6.311247e-05,0.0016103499,0.17191797977202428,21.700689565654486,0.9697886348332552,359.4797923356726,0.6506763004028926,19.042241554289113,1416.218479777036,4.658918830529415,6.2582273161809505,0.0013197866529361553,2.5024867621426754,-0.43109099332954237,0.9832122744047129
11,6.520338e-05,0.0022709519,0.21509290012084598,11.46869116920415,0.9741259350094648,221.900798963704,0.690845670061774,13.758178355712664,876.134504685612,4.201434337672911,5.529201088156759,0.0014771894276368863,2.197801600720154,-0.44875438676008383,0.9787060574207015
12,7.059834e-05,0.002558425,0.2235521686442354,9.622171457445203,0.9756376827434894,197.64396091542932,0.7032595854127699,13.218990055726293,780.953672204272,4.140440650151007,5.426364532724664,0.0015478560903797976,2.1175734375708424,-0.4604186081341535,0.9797341004519504
13,0.00063368643,0.007344097,0.2603566173985701,3.125898413035767,0.9986537660429691,1161.6393256082779,0.7840729757193532,43.14474572565004,4643.431404020075,4.785256697229192,5.682506624604838,0.001940940967987029,1.5918195990240822,-0.6723024322310102,0.9983497735698238
14,0.00060528296,0.005912535,0.23502490004514748,4.166974684807378,0.9987397425352587,1654.1467640359417,0.7615727869824636,51.29591336636399,6612.4200814589585,5.064998564445037,6.0686722531502015,0.0018138652464807304,1.7248899359943723,-0.661809786188926,0.9987060507002699
15,6.6849185e-05,0.0020889193,0.2059926347488899,14.705167922788345,0.9698946518027871,244.49180859109913,0.6759298250695067,15.447370263425588,963.2620664416083,4.349634025508925,5.793011898306553,0.0014244719079223196,2.3178160652603883,-0.4396248139265781,0.9800757440780706
16,6.666853e-05,0.003162615,0.2322032234923461,6.429514424529962,0.9693969250207523,105.2046645778752,0.7256114510389771,9.923564381736098,414.3891438869708,3.899249881862257,5.046931616499719,0.0016356088302908428,1.9499258020077244,-0.46438558076707226,0.9753517854056946
